,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.65008175 0.59620347],0,29,"[0.6994083095950916, 0.6299746079013324]",-1,-1
1,[0.67425357 0.57603728],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
2,[0.6293982  0.60526301],0,-1,-1,-1,-1
3,[0.69308228 0.59086152],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
4,[0.6691044  0.47773999],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
5,[0.70412841 0.55272356],0,-1,-1,13,14
6,[0.73935014 0.48797662],0,-1,-1,13,14
7,[0.76994355 0.5626519 ],0,30,"[0.7912017830780778, 0.5524919270758929]",13,14
8,[0.6643117  0.59092047],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
9,[0.70191369 0.56157333],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
10,[0.69656785 0.56861453],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
11,[0.64692292 0.59506323],0,29,"[0.6994083095950916, 0.6299746079013324]",-1,-1
12,[0.66745026 0.63147618],0,29,"[0.6994083095950916, 0.6299746079013324]",-1,-1
13,[0.74884203 0.51540004],0,30,"[0.7912017830780778, 0.5524919270758929]",13,14
14,[0.72135938 0.61606378],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
15,[0.63532918 0.49636027],0,14,"[0.6662108354420627, 0.46733787932317195]",-1,-1
16,[0.70757253 0.5937784 ],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
17,[0.73693757 0.55348065],0,30,"[0.7912017830780778, 0.5524919270758929]",13,14
18,[0.7535413  0.49980762],0,30,"[0.7912017830780778, 0.5524919270758929]",13,14
19,[0.6446118  0.55001123],0,-1,-1,-1,-1
20,[0.67797661 0.48114398],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
21,[0.72510145 0.5976387 ],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
22,[0.59897897 0.55805923],0,-1,-1,-1,-1
23,[0.67292109 0.55221491],0,-1,-1,13,14
24,[0.77929269 0.62263886],0,27,"[0.795341873175452, 0.6386030650753242]",13,14
25,[0.70043023 0.5896026 ],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
26,[0.66300252 0.53263178],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
27,[0.70765969 0.49338698],0,14,"[0.6662108354420627, 0.46733787932317195]",-1,-1
28,[0.67853806 0.51868082],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
29,[0.6814324 0.5099718],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
30,[0.68462087 0.53409034],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
31,[0.7350611  0.59247519],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
32,[0.64491024 0.55023926],0,-1,-1,-1,-1
33,[0.68983153 0.5459161 ],0,-1,-1,13,14
34,[0.80423624 0.51359371],0,30,"[0.7912017830780778, 0.5524919270758929]",13,14
35,[0.71201578 0.52265827],0,-1,-1,-1,-1
36,[0.67124103 0.52352503],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
37,[0.74039515 0.58379099],0,30,"[0.7912017830780778, 0.5524919270758929]",13,14
38,[0.68488998 0.49966112],0,14,"[0.6662108354420627, 0.46733787932317195]",13,14
39,[0.71676912 0.5652582 ],0,29,"[0.6994083095950916, 0.6299746079013324]",13,14
40,[0.38990304 0.73074254],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
41,[0.36710564 0.73306452],1,35,"[0.3562509897557378, 0.6932877115115236]",8,9
42,[0.35853385 0.68733567],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
43,[0.34273777 0.68994491],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
44,[0.43217533 0.74960495],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
45,[0.32518826 0.80182613],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
46,[0.35320809 0.66770578],1,35,"[0.3562509897557378, 0.6932877115115236]",8,-1
47,[0.30235309 0.74506121],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
48,[0.34568128 0.72070744],1,35,"[0.3562509897557378, 0.6932877115115236]",8,-1
49,[0.44060281 0.74627536],1,40,"[0.4240547839471679, 0.7509261205672721]",8,10
50,[0.40121086 0.72514244],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
51,[0.35561751 0.76710174],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
52,[0.36329919 0.69921872],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
53,[0.37085299 0.78276847],1,28,"[0.31098099118920963, 0.7723947033859392]",-1,-1
54,[0.34641342 0.70257563],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
55,[0.4067187  0.72609883],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
56,[0.30572648 0.72698353],1,28,"[0.31098099118920963, 0.7723947033859392]",-1,-1
57,[0.32686816 0.74450425],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
58,[0.37516214 0.70376083],1,35,"[0.3562509897557378, 0.6932877115115236]",-1,-1
59,[0.36053547 0.67530356],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
60,[0.32989471 0.7419523 ],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
61,[0.33461325 0.69024753],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
62,[0.41661872 0.73300124],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
63,[0.38914013 0.72818853],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
64,[0.34672821 0.70020388],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
65,[0.2927719  0.74033722],1,28,"[0.31098099118920963, 0.7723947033859392]",-1,-1
66,[0.33963088 0.76404794],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
67,[0.30475204 0.77375053],1,28,"[0.31098099118920963, 0.7723947033859392]",-1,-1
68,[0.43773816 0.81236791],1,40,"[0.4240547839471679, 0.7509261205672721]",-1,-1
69,[0.33111147 0.71603434],1,35,"[0.3562509897557378, 0.6932877115115236]",8,7
70,[0.37081563 0.74926367],1,40,"[0.4240547839471679, 0.7509261205672721]",8,-1
71,[0.30807673 0.72336173],1,28,"[0.31098099118920963, 0.7723947033859392]",8,-1
72,[0.44978584 0.78058784],1,40,"[0.4240547839471679, 0.7509261205672721]",-1,-1
73,[0.34449654 0.75326655],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
74,[0.37059422 0.74562071],1,40,"[0.4240547839471679, 0.7509261205672721]",8,-1
75,[0.30507519 0.67799061],1,35,"[0.3562509897557378, 0.6932877115115236]",-1,-1
76,[0.35764401 0.65774697],1,35,"[0.3562509897557378, 0.6932877115115236]",-1,-1
77,[0.38342606 0.73071837],1,40,"[0.4240547839471679, 0.7509261205672721]",8,9
78,[0.36714788 0.78406326],1,28,"[0.31098099118920963, 0.7723947033859392]",-1,-1
79,[0.3320523  0.75231362],1,28,"[0.31098099118920963, 0.7723947033859392]",8,7
80,[0.49368546 0.20411836],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
81,[0.50054087 0.19928585],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
82,[0.52706587 0.22719638],2,8,"[0.5159085501345434, 0.2128023270388087]",-1,-1
83,[0.51545958 0.2607821 ],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
84,[0.49755687 0.25369072],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
85,[0.51370386 0.20270635],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
86,[0.48053787 0.16458205],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
87,[0.56027308 0.22241516],2,8,"[0.5159085501345434, 0.2128023270388087]",-1,-1
88,[0.55185618 0.1799293 ],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
89,[0.50661005 0.13284297],2,41,"[0.5067358588943064, 0.15484219075810568]",-1,-1
90,[0.5230662  0.18083057],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
91,[0.51720033 0.14373186],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
92,[0.56508082 0.19869141],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
93,[0.49761191 0.20076604],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
94,[0.545611   0.15845638],2,41,"[0.5067358588943064, 0.15484219075810568]",13,-1
95,[0.53450392 0.1192285 ],2,41,"[0.5067358588943064, 0.15484219075810568]",-1,-1
96,[0.59101117 0.19056874],2,-1,-1,-1,-1
97,[0.53982992 0.16662869],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
98,[0.46372118 0.23733819],2,9,"[0.4514012157423356, 0.2547345126916274]",13,14
99,[0.52960541 0.16063147],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
100,[0.54610052 0.20243997],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
101,[0.50649029 0.24580177],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
102,[0.43080576 0.13509673],2,6,"[0.41602072709018, 0.154450238039068]",13,14
103,[0.55586551 0.19117917],2,8,"[0.5159085501345434, 0.2128023270388087]",-1,-1
104,[0.49181905 0.26572229],2,9,"[0.4514012157423356, 0.2547345126916274]",13,14
105,[0.5042032  0.19748388],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
106,[0.53998829 0.18003341],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
107,[0.53753292 0.29560991],2,31,"[0.5133749881315822, 0.3110560437912463]",-1,-1
108,[0.45245387 0.25756733],2,9,"[0.4514012157423356, 0.2547345126916274]",13,14
109,[0.45160924 0.22972487],2,9,"[0.4514012157423356, 0.2547345126916274]",13,14
110,[0.49682343 0.12778323],2,41,"[0.5067358588943064, 0.15484219075810568]",-1,-1
111,[0.52388556 0.18021982],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
112,[0.52157293 0.23310111],2,8,"[0.5159085501345434, 0.2128023270388087]",-1,-1
113,[0.47277709 0.27906288],2,9,"[0.4514012157423356, 0.2547345126916274]",-1,14
114,[0.541407   0.16403858],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
115,[0.51708426 0.16241283],2,41,"[0.5067358588943064, 0.15484219075810568]",13,14
116,[0.54814615 0.21637366],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
117,[0.49874564 0.2493637 ],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
118,[0.48618325 0.20316214],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
119,[0.47948233 0.2056763 ],2,8,"[0.5159085501345434, 0.2128023270388087]",13,14
120,[0.47088878 0.44516827],3,1,"[0.42627979483778716, 0.43447471714874936]",13,14
121,[0.37867741 0.3861942 ],3,0,"[0.3567030426224772, 0.3804910345222615]",13,14
122,[0.4343542  0.40910043],3,1,"[0.42627979483778716, 0.43447471714874936]",13,14
123,[0.35001681 0.36916014],3,0,"[0.3567030426224772, 0.3804910345222615]",13,14
124,[0.39203349 0.42915381],3,1,"[0.42627979483778716, 0.43447471714874936]",13,14
