,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.09378178 0.50480667],0,7,"[0.13706935278435295, 0.5251255483760663]",1,-1
1,[0.65926493 0.54351131],7,41,"[0.6441258034510896, 0.5161237465883426]",1,12
2,[0.86271189 0.24193906],24,14,"[0.8419625831270627, 0.21466453182834527]",1,8
3,[0.84658207 0.75478342],12,17,"[0.8558712667721121, 0.7216483425216209]",1,-1
4,[0.49430747 0.02229512],48,-1,-1,-1,-1
5,[0.29426954 0.60768214],37,21,"[0.2805118882048115, 0.6432664179012691]",1,-1
6,[0.26913287 0.45620748],29,38,"[0.2869752780693773, 0.4562586192444251]",1,12
7,[0.81729048 0.27666063],13,30,"[0.825440820916467, 0.32575675109542646]",1,-1
8,[0.83451141 0.60323101],18,48,"[0.8282430342859153, 0.5975940856477333]",1,11
9,[0.72447512 0.65604559],49,9,"[0.7060195164772971, 0.6631502827420502]",1,12
10,[0.63321659 0.58469973],43,13,"[0.6227234007636835, 0.5666884866785502]",1,12
11,[0.58527491 0.39256192],45,12,"[0.5400062940297863, 0.4033015446304229]",1,12
12,[0.26794319 0.36287823],36,45,"[0.21856079144700943, 0.3581918339044319]",1,-1
13,[0.33131398 0.49912731],34,32,"[0.35085451668219536, 0.5351397603673341]",1,12
14,[0.62577867 0.46921545],40,2,"[0.6107432717007759, 0.4584816545165563]",1,12
15,[0.8240358  0.63771741],49,42,"[0.8085694563413482, 0.6673439154392212]",1,-1
16,[0.66578671 0.04691661],32,-1,-1,-1,-1
17,[0.21985483 0.27434851],2,5,"[0.226080981427513, 0.2309969558142875]",1,12
18,[0.40797456 0.42167369],35,3,"[0.410025261893843, 0.4572207109914535]",1,12
19,[0.51693243 0.63771263],30,23,"[0.49948295156123834, 0.6230864564193758]",1,12
20,[0.73250207 0.47838576],11,46,"[0.751164595459258, 0.4616278055829222]",1,-1
21,[0.15793325 0.49740276],0,7,"[0.13706935278435295, 0.5251255483760663]",1,12
22,[0.76388882 0.45751845],11,46,"[0.751164595459258, 0.4616278055829222]",1,-1
