,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.43245016 0.54992641],139,29,"[0.4346271509632765, 0.5423337459486834]",1,1
1,[0.86084661 0.12751071],32,38,"[0.8425974160558016, 0.10539662424576508]",1,1
2,[0.46005498 0.67626743],53,3,"[0.43115657119195405, 0.6811489278430867]",1,1
3,[0.19322807 0.88725752],184,69,"[0.16717867127670677, 0.8610738488575358]",-1,1
4,[0.10117952 0.79009082],153,46,"[0.10225859190897325, 0.761336044433373]",1,1
5,[0.62741856 0.26398873],149,52,"[0.6427907188628323, 0.26429250845086794]",1,1
6,[0.44848747 0.58183237],55,37,"[0.4311801898567376, 0.604497462245326]",1,1
7,[0.57734804 0.27456057],131,41,"[0.5685585583732045, 0.287820991628925]",1,1
8,[0.68379682 0.7507528 ],168,23,"[0.6869976617700981, 0.769076508413944]",1,1
9,[0.55812168 0.8681847 ],164,9,"[0.5616100397884293, 0.9028356080274409]",1,1
10,[0.25390764 0.09606113],10,53,"[0.2645860579075649, 0.10754886021652384]",1,1
11,[0.64580668 0.37338724],14,31,"[0.6262082687553757, 0.38979481487212425]",1,1
12,[0.81637079 0.80861242],197,50,"[0.7996595225156616, 0.7889387050712464]",-1,1
13,[0.32588628 0.71635825],0,16,"[0.3278720006860094, 0.6863463798080102]",1,1
14,[0.46043681 0.53199121],53,29,"[0.4346271509632765, 0.5423337459486834]",1,1
15,[0.84997491 0.17509145],32,44,"[0.8615135466536451, 0.19810497973406158]",1,1
16,[0.45236559 0.6148785 ],170,37,"[0.4311801898567376, 0.604497462245326]",1,1
17,[0.47271358 0.62129426],146,45,"[0.45690440499622864, 0.6428900236920609]",1,1
18,[0.51611052 0.11130314],42,34,"[0.5581269042524748, 0.08295593832154691]",1,1
19,[0.18380262 0.86084695],36,69,"[0.16717867127670677, 0.8610738488575358]",-1,1
20,[0.59933093 0.30455858],13,64,"[0.6314136591181102, 0.3090030258068724]",1,1
21,[0.68686962 0.27810894],13,19,"[0.7023509524954262, 0.2570562546813197]",1,1
22,[0.39273332 0.54457905],50,63,"[0.3835113432903225, 0.5518169108154092]",1,1
23,[0.57927063 0.75074765],132,2,"[0.5926309878205509, 0.76292472872236]",1,1
24,[0.53869694 0.6301104 ],196,28,"[0.5602821454044669, 0.6031209430353072]",1,1
25,[0.56502298 0.73485125],164,30,"[0.5522641410328281, 0.7002812603664695]",1,1
26,[0.96353101 0.51882921],163,-1,-1,-1,-1
27,[0.30760875 0.60850389],191,11,"[0.32961323996273106, 0.6111030484723262]",1,1
28,[0.25060955 0.62192084],99,8,"[0.2420683784524602, 0.6073271726194007]",1,1
29,[0.15058965 0.27505168],188,35,"[0.18307108250663082, 0.2773583826275695]",1,1
30,[0.32289113 0.82076178],133,7,"[0.34846289338316194, 0.8444275697244558]",1,1
31,[0.11653028 0.83753868],147,55,"[0.09529680239916243, 0.859767802562524]",1,1
32,[0.43138602 0.21553544],76,33,"[0.4305224801591706, 0.22727339363534577]",1,1
33,[0.84421288 0.55772056],101,1,"[0.8099624056822351, 0.5158499212055018]",1,1
34,[0.70037904 0.86008754],162,72,"[0.7376612913695098, 0.8503006879882922]",1,1
35,[0.38127139 0.44188569],28,18,"[0.36209294723306806, 0.47844614539091646]",1,1
36,[0.1434813  0.67529291],159,4,"[0.14662336015668034, 0.6964975690140839]",1,1
37,[0.77569509 0.29920261],198,0,"[0.8179128544118942, 0.29419746894338605]",1,1
38,[0.38977115 0.35685611],15,57,"[0.4224530789395809, 0.38293856541672694]",-1,1
39,[0.45654865 0.57987014],55,37,"[0.4311801898567376, 0.604497462245326]",1,1
40,[0.65158449 0.52039871],150,5,"[0.6584437246836489, 0.5295011269582379]",1,1
41,[0.54520153 0.61564571],55,28,"[0.5602821454044669, 0.6031209430353072]",1,1
42,[0.57656795 0.78607126],165,2,"[0.5926309878205509, 0.76292472872236]",1,1
43,[0.83281012 0.52826237],89,1,"[0.8099624056822351, 0.5158499212055018]",1,1
44,[0.16330386 0.22937464],110,35,"[0.18307108250663082, 0.2773583826275695]",1,1
45,[0.63899848 0.11997399],69,67,"[0.6927896479596305, 0.1345847347710044]",1,1
46,[0.14318831 0.69334506],141,4,"[0.14662336015668034, 0.6964975690140839]",1,1
47,[0.53364534 0.55759612],121,51,"[0.49152000922695954, 0.5853916323911604]",1,1
48,[0.42312638 0.65525553],93,3,"[0.43115657119195405, 0.6811489278430867]",1,1
49,[0.59883177 0.12295296],42,6,"[0.5880722341552637, 0.1560067868718431]",1,1
50,[0.37409861 0.5829716 ],12,63,"[0.3835113432903225, 0.5518169108154092]",1,1
51,[0.26031887 0.11812288],169,53,"[0.2645860579075649, 0.10754886021652384]",1,1
52,[0.77068065 0.38683464],2,62,"[0.780928759950376, 0.34804581332554996]",1,1
53,[0.33951715 0.2850151 ],152,15,"[0.3280483116603352, 0.2907098998478302]",1,1
54,[0.62208146 0.29941956],97,64,"[0.6314136591181102, 0.3090030258068724]",1,1
55,[0.50385878 0.59824315],142,51,"[0.49152000922695954, 0.5853916323911604]",1,1
56,[0.10455825 0.76274459],105,46,"[0.10225859190897325, 0.761336044433373]",1,1
57,[0.34518199 0.49028967],117,18,"[0.36209294723306806, 0.47844614539091646]",1,1
58,[0.91842227 0.46016152],89,42,"[0.8870211008098702, 0.4591713103319213]",-1,1
59,[0.2492528  0.20988352],29,17,"[0.24241340621696367, 0.21601993602224573]",1,1
60,[0.47480974 0.42245609],96,54,"[0.5109996013007002, 0.42830398366525313]",1,1
61,[0.91249006 0.25173671],181,70,"[0.9335116100075186, 0.24303311864808536]",1,1
62,[0.31670268 0.85065739],43,7,"[0.34846289338316194, 0.8444275697244558]",1,1
63,[0.78453756 0.39409117],134,62,"[0.780928759950376, 0.34804581332554996]",1,1
64,[0.64148272 0.80049496],83,23,"[0.6869976617700981, 0.769076508413944]",1,1
65,[0.55394956 0.84029084],65,9,"[0.5616100397884293, 0.9028356080274409]",1,1
66,[0.02515142 0.21580559],39,66,"[0.07412518533088616, 0.26203050022724916]",-1,-1
67,[0.64659592 0.3155093 ],58,64,"[0.6314136591181102, 0.3090030258068724]",1,1
68,[0.55834615 0.90585949],88,9,"[0.5616100397884293, 0.9028356080274409]",1,1
69,[0.22252587 0.5052793 ],140,56,"[0.20558441298160643, 0.514245363073985]",1,1
70,[0.1940962  0.50639497],100,56,"[0.20558441298160643, 0.514245363073985]",1,1
71,[0.22842068 0.34409226],104,47,"[0.2067150167228448, 0.3495263175074069]",1,1
72,[0.51697913 0.21100048],115,13,"[0.5265720343543729, 0.2120646301001014]",1,1
73,[0.51395094 0.21652534],40,13,"[0.5265720343543729, 0.2120646301001014]",1,1
74,[0.34138821 0.59404915],0,11,"[0.32961323996273106, 0.6111030484723262]",1,1
75,[0.26864698 0.27895938],188,20,"[0.27002373949954966, 0.2658389250838456]",1,1
76,[0.22405258 0.21058947],161,17,"[0.24241340621696367, 0.21601993602224573]",1,1
77,[0.50763683 0.89342596],65,9,"[0.5616100397884293, 0.9028356080274409]",1,1
78,[0.14503207 0.78916331],153,46,"[0.10225859190897325, 0.761336044433373]",1,1
79,[0.18070221 0.38663315],90,60,"[0.1763040568389741, 0.41835999072178487]",1,1
80,[0.52819908 0.44882935],96,54,"[0.5109996013007002, 0.42830398366525313]",1,1
81,[0.06601861 0.85894594],153,55,"[0.09529680239916243, 0.859767802562524]",-1,1
82,[0.23144551 0.36059175],29,47,"[0.2067150167228448, 0.3495263175074069]",1,1
83,[0.28245867 0.69227418],11,16,"[0.3278720006860094, 0.6863463798080102]",1,1
84,[0.48186762 0.75939789],47,25,"[0.46931180557102126, 0.7590179050372844]",1,1
85,[0.84259171 0.22011434],61,44,"[0.8615135466536451, 0.19810497973406158]",1,1
86,[0.82151055 0.49768431],116,1,"[0.8099624056822351, 0.5158499212055018]",1,1
87,[0.7989593  0.56967152],57,1,"[0.8099624056822351, 0.5158499212055018]",1,1
88,[0.22675471 0.32583303],180,47,"[0.2067150167228448, 0.3495263175074069]",1,1
89,[0.15379948 0.88560332],153,69,"[0.16717867127670677, 0.8610738488575358]",1,1
90,[0.49872753 0.6250179 ],154,51,"[0.49152000922695954, 0.5853916323911604]",1,1
91,[0.46778954 0.85219707],62,36,"[0.4432276043945314, 0.8549714906475696]",1,1
92,[0.35641421 0.81564384],9,7,"[0.34846289338316194, 0.8444275697244558]",1,1
93,[0.63592867 0.34938577],34,64,"[0.6314136591181102, 0.3090030258068724]",1,1
94,[0.27922021 0.50161555],27,32,"[0.30555892210463304, 0.5294466170909551]",1,1
95,[0.79088348 0.6860203 ],101,39,"[0.7951542886436112, 0.6993232189675385]",1,1
96,[0.40901773 0.81867018],9,36,"[0.4432276043945314, 0.8549714906475696]",1,1
97,[0.87163254 0.54470132],163,21,"[0.8715852163955708, 0.610730890768673]",1,1
98,[0.18701027 0.25537533],79,35,"[0.18307108250663082, 0.2773583826275695]",1,1
99,[0.29908665 0.54865693],191,32,"[0.30555892210463304, 0.5294466170909551]",1,1
100,[0.55104327 0.86288606],41,9,"[0.5616100397884293, 0.9028356080274409]",1,1
101,[0.2266889  0.72116598],103,26,"[0.2290153469038994, 0.7211769265703385]",1,1
102,[0.58742721 0.76987763],164,2,"[0.5926309878205509, 0.76292472872236]",1,1
103,[0.81776661 0.41588944],25,-1,-1,1,1
104,[0.33561015 0.49874154],63,18,"[0.36209294723306806, 0.47844614539091646]",1,1
105,[0.75868345 0.78121252],109,50,"[0.7996595225156616, 0.7889387050712464]",1,1
106,[0.08550934 0.56487739],114,40,"[0.0936474590627165, 0.5230793931078267]",1,1
107,[0.4026323  0.20045333],76,33,"[0.4305224801591706, 0.22727339363534577]",1,1
108,[0.81293877 0.75535652],168,50,"[0.7996595225156616, 0.7889387050712464]",1,1
109,[0.30902464 0.64318472],143,11,"[0.32961323996273106, 0.6111030484723262]",1,1
110,[0.3539848  0.60589605],53,11,"[0.32961323996273106, 0.6111030484723262]",1,1
111,[0.8484481  0.45971541],163,42,"[0.8870211008098702, 0.4591713103319213]",1,1
112,[0.56666836 0.1491535 ],49,6,"[0.5880722341552637, 0.1560067868718431]",1,1
113,[0.38896836 0.67587552],72,3,"[0.43115657119195405, 0.6811489278430867]",1,1
114,[0.56346664 0.07559912],86,34,"[0.5581269042524748, 0.08295593832154691]",1,1
115,[0.45319953 0.21087484],76,33,"[0.4305224801591706, 0.22727339363534577]",1,1
116,[0.83453299 0.30671434],46,0,"[0.8179128544118942, 0.29419746894338605]",1,1
117,[0.13096839 0.70809421],73,4,"[0.14662336015668034, 0.6964975690140839]",1,1
118,[0.45079271 0.2129961 ],33,33,"[0.4305224801591706, 0.22727339363534577]",1,1
119,[0.31174501 0.33050092],4,15,"[0.3280483116603352, 0.2907098998478302]",1,1
120,[0.65999783 0.89356198],70,24,"[0.6779296919414662, 0.8919967410610565]",1,1
121,[0.47705941 0.6885831 ],171,3,"[0.43115657119195405, 0.6811489278430867]",1,1
122,[0.87863847 0.64414604],101,21,"[0.8715852163955708, 0.610730890768673]",1,1
123,[0.2025803  0.51694726],194,56,"[0.20558441298160643, 0.514245363073985]",1,1
124,[0.3982085  0.54430025],128,63,"[0.3835113432903225, 0.5518169108154092]",1,1
125,[0.36651366 0.69436146],199,16,"[0.3278720006860094, 0.6863463798080102]",1,1
126,[0.64519849 0.77240476],168,23,"[0.6869976617700981, 0.769076508413944]",1,1
127,[0.58938374 0.78997004],47,2,"[0.5926309878205509, 0.76292472872236]",1,1
128,[0.65678475 0.49655468],84,5,"[0.6584437246836489, 0.5295011269582379]",1,1
129,[0.60945887 0.640022  ],1,10,"[0.6596908270228127, 0.6591104434019653]",1,1
130,[0.52721914 0.13282042],59,34,"[0.5581269042524748, 0.08295593832154691]",1,1
