,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.1914386  0.65987583],0,63,"[0.1975401601748147, 0.6682878225179932]",1,1
1,[0.21697515 0.66940509],0,63,"[0.1975401601748147, 0.6682878225179932]",1,1
2,[0.1646462  0.52869589],0,60,"[0.15929646576940845, 0.5483636027089989]",0,1
3,[0.12018699 0.68976121],0,9,"[0.1211578426422174, 0.7362715563870487]",1,1
4,[0.17291639 0.59880572],0,60,"[0.15929646576940845, 0.5483636027089989]",-1,1
5,[0.49363488 0.35167848],1,59,"[0.5053427912281185, 0.3618042706679439]",1,1
6,[0.44199174 0.34669257],1,5,"[0.4708445732267948, 0.3224517710712285]",1,1
7,[0.52608373 0.40889653],1,13,"[0.5467958100029464, 0.41069589412892327]",1,1
8,[0.48449054 0.36779219],1,59,"[0.5053427912281185, 0.3618042706679439]",1,1
9,[0.58020077 0.37146801],1,53,"[0.6065185597126582, 0.397805560013742]",1,1
10,[0.46989518 0.60555957],2,10,"[0.4490084869362464, 0.6122561902437935]",1,1
11,[0.40137875 0.52786825],2,36,"[0.41421703714617697, 0.5045755078408407]",1,1
12,[0.45862964 0.54657039],2,20,"[0.4910058143662969, 0.5659062476470759]",1,1
13,[0.44279935 0.54089648],2,36,"[0.41421703714617697, 0.5045755078408407]",1,1
14,[0.47621343 0.68052554],2,4,"[0.49422415906012146, 0.6631027961064324]",1,1
15,[0.57527391 0.26751546],3,27,"[0.5682921381900703, 0.30432627509958216]",1,1
16,[0.61579566 0.30210585],3,43,"[0.6450420351684685, 0.28246142224551896]",1,1
17,[0.69716389 0.26561789],3,15,"[0.7244339028901785, 0.2633643670149338]",1,1
18,[0.64885624 0.20318338],3,26,"[0.6338633152594032, 0.2007563664571298]",1,1
19,[0.64662978 0.31165394],3,37,"[0.6554473289417032, 0.3379364025886201]",1,1
20,[0.126729   0.47407388],4,62,"[0.13678949547031963, 0.48202063852516286]",0,1
21,[0.16858137 0.48040104],4,62,"[0.13678949547031963, 0.48202063852516286]",0,1
22,[0.15593067 0.44637519],4,62,"[0.13678949547031963, 0.48202063852516286]",0,1
23,[0.16692039 0.45096905],4,62,"[0.13678949547031963, 0.48202063852516286]",0,1
24,[0.20527926 0.63408803],4,63,"[0.1975401601748147, 0.6682878225179932]",1,1
25,[0.41263031 0.78739529],5,42,"[0.38551390710778866, 0.8019333376011071]",1,1
26,[0.5162646  0.81395941],5,40,"[0.4931293170822726, 0.8188281313281369]",1,1
27,[0.43660567 0.90825926],5,55,"[0.45057012573051497, 0.8943182723293198]",-1,1
28,[0.40322312 0.7634297 ],5,54,"[0.37176395356278386, 0.742005966390254]",1,1
29,[0.4654866  0.75990318],5,25,"[0.4503743486901558, 0.7363075189872564]",1,1
30,[0.34357686 0.29991255],6,16,"[0.35703910810562883, 0.3006884361564288]",1,1
31,[0.56562727 0.31925211],6,27,"[0.5682921381900703, 0.30432627509958216]",1,1
32,[0.34642088 0.28951872],6,16,"[0.35703910810562883, 0.3006884361564288]",1,1
33,[0.4702458  0.34018216],6,5,"[0.4708445732267948, 0.3224517710712285]",1,1
34,[0.38483383 0.33502035],6,16,"[0.35703910810562883, 0.3006884361564288]",1,1
35,[0.42320874 0.58910109],7,10,"[0.4490084869362464, 0.6122561902437935]",1,1
36,[0.43682517 0.72968974],7,25,"[0.4503743486901558, 0.7363075189872564]",1,1
37,[0.43227497 0.53990446],7,36,"[0.41421703714617697, 0.5045755078408407]",1,1
38,[0.34732749 0.69966347],7,54,"[0.37176395356278386, 0.742005966390254]",-1,1
39,[0.43590756 0.53983103],7,36,"[0.41421703714617697, 0.5045755078408407]",1,1
40,[0.68374073 0.66038066],8,0,"[0.707770945448995, 0.6468915850380994]",1,1
41,[0.49840795 0.74486536],8,25,"[0.4503743486901558, 0.7363075189872564]",1,1
42,[0.5680386  0.76055143],8,17,"[0.5591614641934458, 0.7469103955959013]",1,1
43,[0.53299704 0.77199397],8,17,"[0.5591614641934458, 0.7469103955959013]",1,1
44,[0.52233999 0.67036031],8,4,"[0.49422415906012146, 0.6631027961064324]",1,1
45,[0.66682953 0.56433632],9,7,"[0.6316938108794423, 0.5572014676623382]",1,1
46,[0.62230187 0.57772601],9,7,"[0.6316938108794423, 0.5572014676623382]",1,1
47,[0.58659748 0.64113694],9,24,"[0.5989581216066826, 0.6316294162581038]",1,1
48,[0.58546683 0.54893893],9,7,"[0.6316938108794423, 0.5572014676623382]",1,1
49,[0.46688636 0.56748206],9,20,"[0.4910058143662969, 0.5659062476470759]",1,1
50,[0.35131752 0.31457786],10,16,"[0.35703910810562883, 0.3006884361564288]",1,1
51,[0.42754873 0.24540872],10,44,"[0.4373972153743394, 0.23613647288780032]",1,1
52,[0.5314844 0.2287332],10,14,"[0.5366543887928962, 0.2188615236872494]",1,1
53,[0.28053749 0.21348354],10,3,"[0.2631239758433919, 0.19837018923177566]",1,1
54,[0.39477914 0.29439924],10,16,"[0.35703910810562883, 0.3006884361564288]",1,1
55,[0.66502158 0.44354351],11,8,"[0.6820482296524509, 0.4578256807671945]",1,1
56,[0.75058424 0.46372418],11,1,"[0.7787981022978122, 0.4765525703388171]",1,1
57,[0.6953026  0.47441635],11,8,"[0.6820482296524509, 0.4578256807671945]",1,1
58,[0.71567921 0.40327456],11,18,"[0.7341820423110008, 0.36037618163320817]",1,1
59,[0.72225526 0.36534747],11,18,"[0.7341820423110008, 0.36037618163320817]",1,1
60,[0.59114766 0.32785468],12,27,"[0.5682921381900703, 0.30432627509958216]",1,1
61,[0.63461168 0.28478195],12,43,"[0.6450420351684685, 0.28246142224551896]",1,1
62,[0.53047733 0.40011511],12,13,"[0.5467958100029464, 0.41069589412892327]",1,1
63,[0.58652728 0.29254931],12,27,"[0.5682921381900703, 0.30432627509958216]",1,1
64,[0.56702317 0.41243296],12,13,"[0.5467958100029464, 0.41069589412892327]",1,1
65,[0.17257304 0.16065314],13,34,"[0.1777735143090437, 0.15225628616188608]",1,1
66,[0.21091554 0.30375886],13,6,"[0.21602910314473175, 0.27722653574982525]",1,1
67,[0.2309066 0.2095838],13,3,"[0.2631239758433919, 0.19837018923177566]",1,1
68,[0.21480145 0.15986075],13,34,"[0.1777735143090437, 0.15225628616188608]",1,1
69,[0.25509027 0.17303819],13,3,"[0.2631239758433919, 0.19837018923177566]",1,1
70,[0.35538913 0.68872264],14,19,"[0.3633240944373079, 0.6433488600968406]",-1,1
71,[0.45938547 0.70155529],14,25,"[0.4503743486901558, 0.7363075189872564]",1,1
72,[0.37409587 0.58590887],14,41,"[0.3617521903773672, 0.5565632506325922]",1,1
73,[0.46998046 0.59371239],14,10,"[0.4490084869362464, 0.6122561902437935]",1,1
74,[0.40779408 0.72784548],14,54,"[0.37176395356278386, 0.742005966390254]",1,1
75,[0.77618437 0.30483995],15,45,"[0.7929044378858404, 0.2750933819019902]",1,1
76,[0.7272604  0.28150718],15,15,"[0.7244339028901785, 0.2633643670149338]",1,1
77,[0.72548099 0.34974086],15,18,"[0.7341820423110008, 0.36037618163320817]",1,1
78,[0.73274111 0.28081232],15,15,"[0.7244339028901785, 0.2633643670149338]",1,1
79,[0.5835154  0.42606146],15,53,"[0.6065185597126582, 0.397805560013742]",1,1
80,[0.65652285 0.74992728],16,11,"[0.6618642118035007, 0.744899506052619]",1,1
81,[0.62997097 0.83832158],16,2,"[0.6170568637033275, 0.824203281175277]",1,1
82,[0.56951304 0.77619591],16,17,"[0.5591614641934458, 0.7469103955959013]",1,1
83,[0.59386698 0.88863327],16,57,"[0.650176721844265, 0.9036388986560979]",-1,1
84,[0.70735108 0.79781632],16,49,"[0.7032919407921732, 0.8083840668580573]",1,1
85,[0.18228036 0.1332583 ],17,34,"[0.1777735143090437, 0.15225628616188608]",1,1
86,[0.30735588 0.17136998],17,50,"[0.3442379120194254, 0.1777051030099791]",1,1
87,[0.28339195 0.17980531],17,3,"[0.2631239758433919, 0.19837018923177566]",1,1
88,[0.28271412 0.29681722],17,12,"[0.2732136836549801, 0.3508184989294362]",1,1
89,[0.23739865 0.19820716],17,3,"[0.2631239758433919, 0.19837018923177566]",1,1
90,[0.73422414 0.20788184],18,15,"[0.7244339028901785, 0.2633643670149338]",-1,1
91,[0.67521249 0.00205308],18,-1,-1,-1,-1
92,[0.79206579 0.08296006],18,-1,-1,-1,1
93,[0.80583854 0.14649587],18,-1,-1,-1,1
94,[0.73353673 0.16333004],18,-1,-1,-1,1
95,[0.44472712 0.65516702],19,10,"[0.4490084869362464, 0.6122561902437935]",1,1
96,[0.35875799 0.62951702],19,19,"[0.3633240944373079, 0.6433488600968406]",1,1
97,[0.46120176 0.63370586],19,10,"[0.4490084869362464, 0.6122561902437935]",1,1
98,[0.44068805 0.626781  ],19,10,"[0.4490084869362464, 0.6122561902437935]",1,1
99,[0.35559711 0.64493986],19,19,"[0.3633240944373079, 0.6433488600968406]",1,1
100,[0.77224212 0.50842685],20,1,"[0.7787981022978122, 0.4765525703388171]",1,1
101,[0.73771929 0.45875981],20,1,"[0.7787981022978122, 0.4765525703388171]",1,1
102,[0.79077333 0.47903462],20,1,"[0.7787981022978122, 0.4765525703388171]",1,1
103,[0.61573492 0.41793177],20,53,"[0.6065185597126582, 0.397805560013742]",1,1
104,[0.75194018 0.50363319],20,1,"[0.7787981022978122, 0.4765525703388171]",1,1
105,[0.14645242 0.20698246],21,22,"[0.12375847800003423, 0.21248966341557143]",1,1
106,[0.26433745 0.21921624],21,3,"[0.2631239758433919, 0.19837018923177566]",1,1
107,[0.17443587 0.19900754],21,34,"[0.1777735143090437, 0.15225628616188608]",1,1
108,[0.2262805  0.22067115],21,3,"[0.2631239758433919, 0.19837018923177566]",1,1
109,[0.29246158 0.09469929],21,47,"[0.25803782279480136, 0.08800037789973396]",1,1
110,[0.66307095 0.65346948],22,0,"[0.707770945448995, 0.6468915850380994]",1,1
111,[0.60830458 0.74050343],22,17,"[0.5591614641934458, 0.7469103955959013]",1,1
112,[0.65164219 0.75403071],22,11,"[0.6618642118035007, 0.744899506052619]",1,1
113,[0.55362441 0.80711298],22,17,"[0.5591614641934458, 0.7469103955959013]",1,1
114,[0.57112301 0.72805414],22,17,"[0.5591614641934458, 0.7469103955959013]",1,1
115,[0.42860441 0.40175078],23,33,"[0.405523446125027, 0.3951075123300512]",1,1
116,[0.35594626 0.4025357 ],23,46,"[0.33718899160473736, 0.39736858492412913]",1,1
117,[0.27623231 0.36155514],23,12,"[0.2732136836549801, 0.3508184989294362]",1,1
