,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.79778803 0.06150527],0,46,"[0.7778932845726793, 0.07757338215537693]",1,1
1,[0.69323465 0.16866847],0,-1,-1,1,1
2,[0.85587419 0.10596465],0,59,"[0.8900990446412111, 0.059072666546298634]",1,1
3,[0.78832108 0.05213062],0,46,"[0.7778932845726793, 0.07757338215537693]",1,1
4,[0.72841993 0.07484267],0,46,"[0.7778932845726793, 0.07757338215537693]",1,1
5,[0.78284452 0.04433419],0,46,"[0.7778932845726793, 0.07757338215537693]",1,1
6,[0.76372223 0.09044349],0,46,"[0.7778932845726793, 0.07757338215537693]",1,1
7,[0.77816077 0.14676529],0,67,"[0.7605984665957574, 0.14387203686556152]",1,1
8,[0.76538453 0.14118982],0,67,"[0.7605984665957574, 0.14387203686556152]",1,1
9,[0.82513079 0.15759819],0,39,"[0.8377633261154405, 0.1999733134852674]",1,1
10,[0.27451011 0.58882022],1,-1,-1,-1,1
11,[0.15174732 0.51779059],1,44,"[0.14741470514096386, 0.4886595572143156]",1,1
12,[0.23325245 0.62572779],1,22,"[0.19550169408276216, 0.6728108041450024]",-1,1
13,[0.27090062 0.56038594],1,-1,-1,-1,1
14,[0.19168844 0.66957779],1,22,"[0.19550169408276216, 0.6728108041450024]",1,1
15,[0.23104425 0.55639588],1,-1,-1,1,1
16,[0.16822005 0.62730437],1,22,"[0.19550169408276216, 0.6728108041450024]",1,1
17,[0.2920914  0.64129203],1,52,"[0.2907152135752914, 0.6685414539076313]",1,1
18,[0.32669109 0.54746332],1,13,"[0.3720676420889385, 0.5218454486718562]",-1,1
19,[0.29832919 0.65891269],1,52,"[0.2907152135752914, 0.6685414539076313]",1,1
20,[0.171013   0.62748523],2,22,"[0.19550169408276216, 0.6728108041450024]",1,1
21,[0.16176413 0.64173353],2,22,"[0.19550169408276216, 0.6728108041450024]",1,1
22,[0.12950861 0.56398283],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
23,[0.18109974 0.55048668],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
24,[0.11786431 0.60764453],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
25,[0.13772404 0.53657747],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
26,[0.11810556 0.59452293],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
27,[0.10892426 0.54479137],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
28,[0.11383239 0.53171035],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
29,[0.17864104 0.5651656 ],2,53,"[0.11167255643393331, 0.553863281199954]",1,1
30,[0.15596    0.84365784],3,14,"[0.14611817695990828, 0.8492505881562638]",1,1
31,[0.08629866 0.82834269],3,47,"[0.05587547963230773, 0.8338539742910036]",1,1
32,[0.1829159 0.9406635],3,-1,-1,-1,1
33,[0.16823733 0.95012892],3,-1,-1,-1,1
34,[0.09107936 0.86117615],3,47,"[0.05587547963230773, 0.8338539742910036]",1,1
35,[0.13453625 0.80940426],3,14,"[0.14611817695990828, 0.8492505881562638]",1,1
