,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.28426254 0.81266073],53,55,"[0.2868755213565114, 0.8145376045966949]",1,1
1,[0.62778098 0.17842552],70,47,"[0.6056806728082954, 0.18771311730274703]",1,1
2,[0.60034644 0.77815485],57,17,"[0.5501264652008299, 0.7687230149344123]",1,1
3,[0.23968828 0.54929748],6,53,"[0.2318928444727365, 0.5749618470124043]",1,1
4,[0.65641359 0.43167014],5,25,"[0.6747553558466292, 0.4183585781701139]",1,1
5,[0.2076379  0.30487918],86,57,"[0.2294435676589188, 0.29583113552531126]",1,1
6,[0.31714681 0.29228328],66,8,"[0.3382798421890392, 0.24457315707966726]",1,1
7,[0.42877546 0.43416634],4,10,"[0.4193290011338911, 0.45673559517940165]",1,1
8,[0.75035103 0.1541346 ],73,60,"[0.7764359622272058, 0.13316515765346965]",1,1
9,[0.87268173 0.54212926],20,26,"[0.8621843309293392, 0.5309478498598325]",1,1
10,[0.68143861 0.25435421],70,27,"[0.6808296423320106, 0.2575414171234381]",1,1
11,[0.53092387 0.21218717],25,3,"[0.5207910760102317, 0.21059437173692677]",1,1
12,[0.35688605 0.17517944],38,22,"[0.3812152661233973, 0.17373326519279134]",1,1
13,[0.50747291 0.38118834],35,31,"[0.4948451055932374, 0.3897688456218817]",1,1
14,[0.62173703 0.51140689],22,2,"[0.6072411545806768, 0.4691917029248025]",1,1
15,[0.75559516 0.67029115],72,42,"[0.7284374782979093, 0.6958692288688013]",1,1
16,[0.69316429 0.32606699],39,30,"[0.7273707315314096, 0.34400778423051037]",1,1
17,[0.5532358  0.34893447],79,28,"[0.5833064991855708, 0.3826059270889032]",1,1
18,[0.56542968 0.44775222],42,0,"[0.5364074627179665, 0.45810447456403436]",1,1
19,[0.36215617 0.53114676],6,1,"[0.3623520633488927, 0.5391121682555091]",1,1
20,[0.78338555 0.2573312 ],71,21,"[0.7585715839749346, 0.23423093236009596]",1,1
21,[0.4675382  0.37102184],4,31,"[0.4948451055932374, 0.3897688456218817]",1,1
22,[0.81081603 0.28744538],73,19,"[0.8118732615541511, 0.323011285753737]",1,1
23,[0.49913928 0.30788592],83,11,"[0.5140860716801952, 0.2959946384135671]",1,1
24,[0.59893842 0.46646352],81,2,"[0.6072411545806768, 0.4691917029248025]",1,1
25,[0.71299284 0.53055956],30,43,"[0.718385596244337, 0.5231251626104348]",1,1
26,[0.65775541 0.70372931],48,34,"[0.6464634350567239, 0.7080916137148248]",1,1
27,[0.21027436 0.3374715 ],69,57,"[0.2294435676589188, 0.29583113552531126]",1,1
28,[0.7776618  0.72184713],37,40,"[0.7742415179721924, 0.7556968693469046]",1,1
29,[0.74214518 0.71459104],37,42,"[0.7284374782979093, 0.6958692288688013]",1,1
30,[0.68100992 0.34893765],79,14,"[0.6432811626786887, 0.3356945781222285]",1,1
31,[0.90300539 0.18313852],9,81,"[0.8993280059875112, 0.14569935422122793]",1,1
32,[0.55864451 0.24456998],33,41,"[0.6026783523129976, 0.2539846038046346]",1,1
33,[0.41871455 0.34129061],4,9,"[0.4166337895600982, 0.35355068469977624]",1,1
34,[0.78449833 0.34221534],71,19,"[0.8118732615541511, 0.323011285753737]",1,1
35,[0.45658046 0.24797679],33,4,"[0.4398493090464737, 0.2310504271637759]",1,1
36,[0.4224612  0.69103587],76,24,"[0.40968795279646575, 0.6562339669309949]",1,1
37,[0.24130099 0.81793041],49,55,"[0.2868755213565114, 0.8145376045966949]",1,1
38,[0.30470635 0.45203667],97,7,"[0.3187211295095186, 0.4376969054710232]",1,1
39,[0.46535406 0.34925215],2,9,"[0.4166337895600982, 0.35355068469977624]",1,1
40,[0.39368202 0.78742878],26,32,"[0.3855660817786457, 0.7826927501146564]",1,1
41,[0.7624425  0.94719333],68,61,"[0.7709599851654335, 0.8795031099427926]",-1,-1
42,[0.85161443 0.53607622],20,26,"[0.8621843309293392, 0.5309478498598325]",1,1
43,[0.49913188 0.7175359 ],23,33,"[0.4754130966023803, 0.7416022073126288]",1,1
44,[0.22039148 0.39746906],62,12,"[0.23919966611793533, 0.38585188401223763]",1,1
45,[0.2733427  0.61922987],97,15,"[0.3071431881524736, 0.6271272076622801]",1,1
46,[0.56649558 0.43042346],1,0,"[0.5364074627179665, 0.45810447456403436]",1,1
47,[0.86589461 0.54153596],20,26,"[0.8621843309293392, 0.5309478498598325]",1,1
48,[0.86869349 0.58767829],99,56,"[0.8688742542991436, 0.606710513912247]",1,1
49,[0.8256639  0.39642419],34,54,"[0.8249159222628181, 0.437355418930794]",1,-1
50,[0.31025805 0.2301476 ],13,8,"[0.3382798421890392, 0.24457315707966726]",1,1
51,[0.77821502 0.4642962 ],39,44,"[0.7671836481730543, 0.443852000329228]",1,1
52,[0.69826512 0.4355214 ],39,25,"[0.6747553558466292, 0.4183585781701139]",1,1
53,[0.58507764 0.41058145],42,28,"[0.5833064991855708, 0.3826059270889032]",1,1
54,[0.33745719 0.59275739],87,15,"[0.3071431881524736, 0.6271272076622801]",1,1
55,[0.55044198 0.57161567],5,29,"[0.5787436726186475, 0.5800035338388597]",1,1
56,[0.35261389 0.22829317],33,8,"[0.3382798421890392, 0.24457315707966726]",1,1
57,[0.7424531  0.43424482],30,44,"[0.7671836481730543, 0.443852000329228]",1,1
58,[0.3782841  0.56043998],76,1,"[0.3623520633488927, 0.5391121682555091]",1,1
59,[0.28302358 0.57689951],12,75,"[0.29493917393523067, 0.5345395175026951]",1,1
60,[0.39607613 0.42808042],36,10,"[0.4193290011338911, 0.45673559517940165]",1,1
61,[0.86159086 0.22358028],95,48,"[0.8567798898945572, 0.2080914190645451]",1,1
62,[0.69240392 0.268946  ],50,27,"[0.6808296423320106, 0.2575414171234381]",1,1
63,[0.7562972  0.70038286],37,42,"[0.7284374782979093, 0.6958692288688013]",1,1
64,[0.78020753 0.55125168],98,20,"[0.7858856880160274, 0.5636714577355527]",1,1
65,[0.76224548 0.87198465],68,61,"[0.7709599851654335, 0.8795031099427926]",1,1
66,[0.26738286 0.93643599],55,69,"[0.2785011148144149, 0.899171793409694]",-1,-1
67,[0.14267136 0.19267029],77,49,"[0.14321467441770147, 0.19696783472181553]",1,1
68,[0.8328981  0.29310818],71,19,"[0.8118732615541511, 0.323011285753737]",1,1
69,[0.3481182  0.55551236],47,1,"[0.3623520633488927, 0.5391121682555091]",1,1
70,[0.70922452 0.40665099],41,25,"[0.6747553558466292, 0.4183585781701139]",1,1
71,[0.87070973 0.51583301],98,26,"[0.8621843309293392, 0.5309478498598325]",1,1
72,[0.54198049 0.56186255],5,18,"[0.5296083854652561, 0.5504369235819263]",1,1
73,[0.48352068 0.21728957],27,3,"[0.5207910760102317, 0.21059437173692677]",1,1
74,[0.74729671 0.25633576],50,21,"[0.7585715839749346, 0.23423093236009596]",1,1
75,[0.51667615 0.45664282],67,0,"[0.5364074627179665, 0.45810447456403436]",1,1
76,[0.77951105 0.14870708],73,60,"[0.7764359622272058, 0.13316515765346965]",1,1
77,[0.81210479 0.5438695 ],80,20,"[0.7858856880160274, 0.5636714577355527]",1,1
78,[0.49779861 0.20557007],25,3,"[0.5207910760102317, 0.21059437173692677]",1,1
79,[0.45096887 0.30621263],15,9,"[0.4166337895600982, 0.35355068469977624]",1,1
80,[0.49515642 0.53652631],84,18,"[0.5296083854652561, 0.5504369235819263]",1,1
81,[0.44856946 0.70333733],26,33,"[0.4754130966023803, 0.7416022073126288]",1,1
82,[0.93094684 0.84188964],29,73,"[0.9336401520148482, 0.8525592005931207]",-1,1
83,[0.40657865 0.22805109],83,4,"[0.4398493090464737, 0.2310504271637759]",1,1
84,[0.70365778 0.6645627 ],99,42,"[0.7284374782979093, 0.6958692288688013]",1,1
85,[0.30948264 0.44831057],32,7,"[0.3187211295095186, 0.4376969054710232]",1,1
86,[0.60750678 0.36704266],70,28,"[0.5833064991855708, 0.3826059270889032]",1,1
87,[0.29484829 0.5102374 ],32,75,"[0.29493917393523067, 0.5345395175026951]",1,1
88,[0.64659918 0.72859026],57,34,"[0.6464634350567239, 0.7080916137148248]",1,1
89,[0.7144887  0.71347186],88,42,"[0.7284374782979093, 0.6958692288688013]",1,1
90,[0.36730214 0.16531465],45,22,"[0.3812152661233973, 0.17373326519279134]",1,1
91,[0.54304476 0.59106057],16,29,"[0.5787436726186475, 0.5800035338388597]",1,1
92,[0.35562056 0.78469126],53,32,"[0.3855660817786457, 0.7826927501146564]",1,1
93,[0.62615165 0.27125701],58,41,"[0.6026783523129976, 0.2539846038046346]",1,1
94,[0.27571218 0.83092644],53,55,"[0.2868755213565114, 0.8145376045966949]",1,1
95,[0.36285173 0.23170985],33,8,"[0.3382798421890392, 0.24457315707966726]",1,1
96,[0.37651117 0.14746188],33,22,"[0.3812152661233973, 0.17373326519279134]",1,1
97,[0.60626646 0.59126128],5,29,"[0.5787436726186475, 0.5800035338388597]",1,1
98,[0.74398716 0.31244657],9,30,"[0.7273707315314096, 0.34400778423051037]",1,1
99,[0.4728358  0.51613609],56,5,"[0.45484587000468313, 0.5305115954578112]",1,1
100,[0.58759145 0.42650308],54,28,"[0.5833064991855708, 0.3826059270889032]",1,1
101,[0.33602417 0.32294079],36,6,"[0.32970695031883845, 0.34820613857796623]",1,1
102,[0.38039516 0.43425784],66,10,"[0.4193290011338911, 0.45673559517940165]",1,1
103,[0.48632592 0.39283677],2,31,"[0.4948451055932374, 0.3897688456218817]",1,1
104,[0.8933771  0.62634997],99,56,"[0.8688742542991436, 0.606710513912247]",-1,-1
105,[0.74739543 0.58279846],52,20,"[0.7858856880160274, 0.5636714577355527]",1,1
106,[0.148979   0.02864479],77,-1,-1,-1,-1
107,[0.28836408 0.62518027],74,15,"[0.3071431881524736, 0.6271272076622801]",1,1
108,[0.55466847 0.79899741],89,17,"[0.5501264652008299, 0.7687230149344123]",1,1
109,[0.82044216 0.31197744],39,19,"[0.8118732615541511, 0.323011285753737]",1,1
110,[0.67214249 0.39360217],81,25,"[0.6747553558466292, 0.4183585781701139]",1,1
111,[0.85152803 0.5337207 ],98,26,"[0.8621843309293392, 0.5309478498598325]",1,1
112,[0.7435524  0.52248981],72,43,"[0.718385596244337, 0.5231251626104348]",1,1
113,[0.53398376 0.1780021 ],10,3,"[0.5207910760102317, 0.21059437173692677]",1,1
114,[0.75791167 0.7649946 ],88,40,"[0.7742415179721924, 0.7556968693469046]",1,1
115,[0.58425346 0.25075979],25,41,"[0.6026783523129976, 0.2539846038046346]",1,1
116,[0.5111324  0.86783938],89,51,"[0.4932511478980729, 0.8729409116673283]",1,1
117,[0.6855876  0.66712825],46,39,"[0.6604149423746682, 0.6458545822561456]",1,1
118,[0.24873045 0.57334578],3,53,"[0.2318928444727365, 0.5749618470124043]",1,1
119,[0.59234494 0.59010202],22,29,"[0.5787436726186475, 0.5800035338388597]",1,1
120,[0.56279669 0.44895213],22,0,"[0.5364074627179665, 0.45810447456403436]",1,1
121,[0.51157737 0.67542521],60,37,"[0.499463693020916, 0.6773715986628183]",1,1
122,[0.60408407 0.71328916],57,34,"[0.6464634350567239, 0.7080916137148248]",1,1
123,[0.32470661 0.79155291],55,55,"[0.2868755213565114, 0.8145376045966949]",1,1
124,[0.58375279 0.19751496],58,47,"[0.6056806728082954, 0.18771311730274703]",1,1
125,[0.34453651 0.71176407],49,62,"[0.30751660902030953, 0.7262901296469824]",-1,-1
126,[0.33741927 0.5218348 ],36,1,"[0.3623520633488927, 0.5391121682555091]",1,1
127,[0.70239687 0.61001257],46,13,"[0.7243150140029302, 0.620973317815333]",1,1
128,[0.30005692 0.82616113],49,55,"[0.2868755213565114, 0.8145376045966949]",1,1
129,[0.21216187 0.49619266],63,63,"[0.21594192400083653, 0.48373785350226495]",1,1
130,[0.78035633 0.40319758],21,44,"[0.7671836481730543, 0.443852000329228]",1,1
131,[0.58119794 0.60629914],48,29,"[0.5787436726186475, 0.5800035338388597]",1,1
132,[0.44605768 0.2859969 ],4,4,"[0.4398493090464737, 0.2310504271637759]",1,1
133,[0.5672924 0.7970939],82,17,"[0.5501264652008299, 0.7687230149344123]",1,1
134,[0.84841471 0.44390883],21,54,"[0.8249159222628181, 0.437355418930794]",1,1
135,[0.83046132 0.45831433],21,54,"[0.8249159222628181, 0.437355418930794]",1,1
136,[0.41589945 0.43891942],47,10,"[0.4193290011338911, 0.45673559517940165]",1,1
137,[0.3805145  0.88097107],26,70,"[0.3646249504095794, 0.8692283593646017]",1,-1
138,[0.38374911 0.93059378],55,70,"[0.3646249504095794, 0.8692283593646017]",-1,-1
139,[0.77027009 0.81606042],91,40,"[0.7742415179721924, 0.7556968693469046]",1,1
140,[0.46392164 0.54838037],76,5,"[0.45484587000468313, 0.5305115954578112]",1,1
141,[0.67764718 0.39425121],96,25,"[0.6747553558466292, 0.4183585781701139]",1,1
142,[0.76603687 0.11794247],9,60,"[0.7764359622272058, 0.13316515765346965]",1,-1
143,[0.51003197 0.2209233 ],10,3,"[0.5207910760102317, 0.21059437173692677]",1,1
144,[0.50754333 0.27364787],58,11,"[0.5140860716801952, 0.2959946384135671]",1,1
145,[0.45699304 0.55602832],56,5,"[0.45484587000468313, 0.5305115954578112]",1,1
146,[0.47408733 0.53340552],56,5,"[0.45484587000468313, 0.5305115954578112]",1,1
147,[0.54964539 0.62146771],87,72,"[0.5655110907064878, 0.6531873802106207]",1,1
148,[0.32074213 0.35614217],61,6,"[0.32970695031883845, 0.34820613857796623]",1,1
149,[0.49750935 0.23377987],15,3,"[0.5207910760102317, 0.21059437173692677]",1,1
150,[0.39490493 0.35637909],35,9,"[0.4166337895600982, 0.35355068469977624]",1,1
151,[0.80851931 0.49525954],80,54,"[0.8249159222628181, 0.437355418930794]",1,1
152,[0.92022386 0.46260123],34,58,"[0.9041549214012997, 0.4380081911810385]",1,1
153,[0.27248687 0.37978966],65,12,"[0.23919966611793533, 0.38585188401223763]",1,1
