,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.2880258  0.30568278],18,27,"[0.29450016385868333, 0.28575845941276184]",345,-1
1,[0.76178417 0.79757259],32,19,"[0.8030948333336637, 0.7775775532440262]",38,-1
2,[0.60221989 0.18796025],33,43,"[0.5723613221612635, 0.16836187324269497]",-1,-1
3,[0.38289454 0.35987429],18,30,"[0.4091529884016537, 0.35015812675387237]",363,59
4,[0.5777227  0.21013588],31,43,"[0.5723613221612635, 0.16836187324269497]",121,11
5,[0.76732508 0.13443076],48,17,"[0.7741584118142145, 0.18360680463133913]",-1,-1
6,[0.86853424 0.82263287],40,-1,-1,-1,-1
7,[0.44471602 0.30064661],19,25,"[0.46300451858620206, 0.286414822997483]",377,67
8,[0.71172017 0.5698335 ],29,9,"[0.7126079841380543, 0.5730927503762643]",296,36
9,[0.14039658 0.47984885],23,14,"[0.20528557039950798, 0.48653619906579026]",10,-1
10,[0.37491809 0.3822287 ],3,30,"[0.4091529884016537, 0.35015812675387237]",285,-1
11,[0.19211313 0.44754548],44,14,"[0.20528557039950798, 0.48653619906579026]",25,-1
12,[0.35566243 0.41431225],34,15,"[0.3220319669226936, 0.3935905313238874]",288,-1
13,[0.66537644 0.26554067],33,5,"[0.6974353487245711, 0.2527725789154101]",302,48
14,[0.5833798  0.82632368],28,28,"[0.5833468487853477, 0.7848786609672309]",-1,-1
15,[0.75237189 0.31439238],46,6,"[0.7642357193514171, 0.3119666995017107]",268,-1
16,[0.46926065 0.70609809],42,24,"[0.4820443073266154, 0.7136059183207046]",155,-1
17,[0.62228505 0.18489148],26,37,"[0.6583160460947352, 0.18303055371131993]",-1,-1
18,[0.35966508 0.62520139],1,20,"[0.40643939175434174, 0.6183370108962998]",113,17
19,[0.539934  0.3168852],30,8,"[0.549039011536301, 0.30265350872399555]",333,58
20,[0.3292373 0.3369419],21,35,"[0.34996062254713683, 0.30126253559953053]",358,64
21,[0.34820134 0.19946492],47,23,"[0.35326689911436243, 0.21207962870616562]",365,70
22,[0.44312014 0.20024713],34,7,"[0.4494744710649658, 0.1757678465183026]",344,-1
23,[0.4144727  0.76288262],42,44,"[0.4149048463629006, 0.7538212267037382]",-1,9
24,[0.31980353 0.29633983],19,27,"[0.29450016385868333, 0.28575845941276184]",-1,-1
25,[0.19097145 0.25527184],7,38,"[0.1961582761086309, 0.24199984490437346]",-1,-1
26,[0.33213498 0.17065714],19,23,"[0.35326689911436243, 0.21207962870616562]",-1,-1
27,[0.74446956 0.60271055],24,9,"[0.7126079841380543, 0.5730927503762643]",204,35
28,[0.38371882 0.29238173],36,35,"[0.34996062254713683, 0.30126253559953053]",-1,-1
29,[0.70106934 0.31223186],46,4,"[0.6587896384335934, 0.32262747668715525]",-1,52
30,[0.29841429 0.22726018],19,23,"[0.35326689911436243, 0.21207962870616562]",338,54
31,[0.34024465 0.32645582],19,35,"[0.34996062254713683, 0.30126253559953053]",-1,64
32,[0.6062427  0.50860059],38,0,"[0.628962298157767, 0.5438790614070615]",-1,-1
33,[0.49124307 0.12768303],37,7,"[0.4494744710649658, 0.1757678465183026]",-1,-1
34,[0.47581193 0.4413969 ],3,13,"[0.5216225177678361, 0.45245698509283105]",171,14
35,[0.19435358 0.63375898],16,42,"[0.16014923054217603, 0.5893046898625651]",-1,-1
36,[0.78019038 0.55091339],35,29,"[0.8212431486433367, 0.5796533241484216]",75,-1
37,[0.76355641 0.667876  ],27,18,"[0.7646955921511571, 0.6681898473682854]",101,4
38,[0.70248153 0.24137014],5,5,"[0.6974353487245711, 0.2527725789154101]",-1,-1
39,[0.45895238 0.30581945],37,25,"[0.46300451858620206, 0.286414822997483]",-1,-1
40,[0.22737138 0.49661712],44,14,"[0.20528557039950798, 0.48653619906579026]",41,-1
41,[0.54409489 0.42772318],30,13,"[0.5216225177678361, 0.45245698509283105]",-1,13
