,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.5664734  0.45399244],0,72,"[0.5953487264494661, 0.45095747433420547]",1,1
1,[0.67590182 0.55696826],0,68,"[0.6781741251051745, 0.5954162725234059]",1,1
2,[0.61500047 0.47440893],0,72,"[0.5953487264494661, 0.45095747433420547]",1,1
3,[0.59576612 0.42905118],0,72,"[0.5953487264494661, 0.45095747433420547]",1,1
4,[0.60440246 0.4552003 ],0,72,"[0.5953487264494661, 0.45095747433420547]",1,1
5,[0.54546143 0.55224949],0,43,"[0.5317246132430647, 0.56369859819272]",1,1
6,[0.56365835 0.58168052],0,43,"[0.5317246132430647, 0.56369859819272]",1,1
7,[0.47149188 0.48634834],0,12,"[0.4479027836884618, 0.4969766072392122]",1,1
8,[0.65183046 0.5070949 ],0,53,"[0.677822573084338, 0.5147688205858175]",1,1
9,[0.56890391 0.51703345],0,66,"[0.5981906958462141, 0.5284806040553458]",1,1
10,[0.55121994 0.77379265],1,65,"[0.5031177598383805, 0.7505144411743813]",0,1
11,[0.63335832 0.66193071],1,71,"[0.645634620348558, 0.6632140903961992]",1,1
12,[0.40232302 0.83890074],1,23,"[0.3925015465528209, 0.8005197841426026]",1,1
13,[0.57575202 0.86413404],1,52,"[0.525848888489854, 0.8426548870030629]",0,1
14,[0.56324315 0.82658718],1,52,"[0.525848888489854, 0.8426548870030629]",0,1
15,[0.53796548 0.81136522],1,52,"[0.525848888489854, 0.8426548870030629]",0,1
16,[0.57715332 0.81216978],1,52,"[0.525848888489854, 0.8426548870030629]",0,1
17,[0.42954626 0.8676592 ],1,-1,-1,-1,1
18,[0.51909937 0.81386327],1,52,"[0.525848888489854, 0.8426548870030629]",0,1
19,[0.55749644 0.81733574],1,52,"[0.525848888489854, 0.8426548870030629]",0,1
20,[0.60885544 0.67105724],2,71,"[0.645634620348558, 0.6632140903961992]",1,1
21,[0.71030214 0.63953137],2,67,"[0.7272721036058657, 0.6142100876738577]",1,1
22,[0.66755076 0.69039496],2,71,"[0.645634620348558, 0.6632140903961992]",1,1
23,[0.65437576 0.58635325],2,68,"[0.6781741251051745, 0.5954162725234059]",1,1
24,[0.67069058 0.63120419],2,68,"[0.6781741251051745, 0.5954162725234059]",1,1
25,[0.64921617 0.63800696],2,71,"[0.645634620348558, 0.6632140903961992]",1,1
26,[0.71617193 0.66666406],2,73,"[0.7332037102493248, 0.6789804355346136]",1,1
27,[0.63693334 0.6716935 ],2,71,"[0.645634620348558, 0.6632140903961992]",1,1
28,[0.64712962 0.61244281],2,68,"[0.6781741251051745, 0.5954162725234059]",1,1
29,[0.74619116 0.52722906],2,8,"[0.7807849240128758, 0.5540024739138323]",1,1
30,[0.69784335 0.33137716],3,49,"[0.7128042046512273, 0.3390814600578248]",1,1
31,[0.64458982 0.2961879 ],3,35,"[0.6530038955423867, 0.27487403983218944]",1,1
32,[0.65888285 0.30927851],3,35,"[0.6530038955423867, 0.27487403983218944]",1,1
33,[0.68549532 0.28426413],3,35,"[0.6530038955423867, 0.27487403983218944]",1,1
34,[0.72358042 0.40189144],3,11,"[0.7470496150270168, 0.43253271207012495]",1,1
35,[0.74336562 0.29465305],3,49,"[0.7128042046512273, 0.3390814600578248]",-1,-1
36,[0.50740087 0.26565534],3,0,"[0.5086473932653098, 0.2540309796807041]",1,1
37,[0.61593705 0.31912187],3,35,"[0.6530038955423867, 0.27487403983218944]",-1,-1
