,datum,blob,snowball_label,snowball_center,hdbscan_eom_label,hdbscan_leaf_label
0,[0.44313602 0.35044756],1,-1,-1,2,1
1,[0.40171855 0.39430042],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
2,[0.33988569 0.33253895],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
3,[0.33829494 0.37164543],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
4,[0.6453861 0.5051545],2,-1,-1,1,2
5,[0.32605793 0.41200986],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
6,[0.35806629 0.32549294],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
7,[0.62301858 0.31890095],2,3,"[0.6789485915440447, 0.3280285431522715]",1,2
8,[0.38095697 0.3158167 ],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
9,[0.34575987 0.43804092],1,-1,-1,2,1
10,[0.72240488 0.46776961],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
11,[0.23964375 0.3465035 ],1,-1,-1,2,1
12,[0.75669925 0.47241678],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
13,[0.73076108 0.45623317],2,0,"[0.7090867539515827, 0.4536788783638889]",1,2
14,[0.2027513  0.88278578],0,-1,-1,0,0
15,[0.1725783  0.74145375],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
16,[0.02326249 0.78812253],0,-1,-1,0,0
17,[0.34455421 0.30211077],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
18,[0.27590954 0.34001487],1,-1,-1,2,1
19,[0.79549848 0.38285182],3,-1,-1,1,2
20,[0.18775706 0.77290783],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
21,[0.40878976 0.35416648],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
22,[0.71101706 0.43816255],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
23,[0.12204411 0.74095912],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
24,[0.33951766 0.24528874],1,-1,-1,2,1
25,[0.64649323 0.35014535],2,3,"[0.6789485915440447, 0.3280285431522715]",1,2
26,[0.68959705 0.32505509],2,3,"[0.6789485915440447, 0.3280285431522715]",1,2
27,[0.34723785 0.44898278],1,-1,-1,2,1
28,[0.6616256  0.41300315],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
29,[0.26368075 0.76722249],0,-1,-1,0,0
30,[0.7636706  0.51967761],3,-1,-1,1,2
31,[0.28800011 0.7644365 ],0,-1,-1,0,0
32,[0.68450983 0.51855927],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
33,[0.09685073 0.69050671],0,-1,-1,0,0
34,[0.43023428 0.32290215],1,-1,-1,2,1
35,[0.41154204 0.38796327],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
36,[0.33742795 0.36028023],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
37,[0.62817478 0.24867355],2,-1,-1,1,2
38,[0.45508706 0.40158961],1,-1,-1,2,1
39,[0.77266938 0.35270451],2,-1,-1,1,2
40,[0.63705848 0.4871248 ],3,-1,-1,1,2
41,[0.83164146 0.48081717],2,-1,-1,1,2
42,[0.61460256 0.39846429],2,-1,-1,1,2
43,[0.73964406 0.38166597],3,-1,-1,1,2
44,[0.40242633 0.33567809],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
45,[0.18597424 0.84420324],0,-1,-1,0,0
46,[0.17265598 0.75009112],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
47,[0.66384688 0.50427848],2,0,"[0.7090867539515827, 0.4536788783638889]",1,2
48,[0.12217404 0.68126738],0,-1,-1,0,0
49,[0.14554848 0.74097044],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
50,[0.62265907 0.30384846],2,3,"[0.6789485915440447, 0.3280285431522715]",1,2
51,[0.36935303 0.41622617],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
52,[0.13907112 0.83286323],0,-1,-1,0,0
53,[0.2366691  0.67277952],0,-1,-1,0,0
54,[0.14173097 0.83489919],0,-1,-1,0,0
55,[0.38634565 0.30690378],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
56,[0.23643915 0.69896047],0,-1,-1,0,0
57,[0.73467926 0.47102709],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
58,[0.39717058 0.48533832],1,-1,-1,2,1
59,[0.72501559 0.57980612],3,-1,-1,1,2
60,[0.30775002 0.71820743],0,-1,-1,0,0
61,[0.41576499 0.44638441],1,-1,-1,2,1
62,[0.34311654 0.39726061],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
63,[0.2042672  0.73719601],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
64,[0.25025222 0.38325201],1,-1,-1,2,1
65,[0.31102835 0.24836165],1,-1,-1,2,1
66,[0.72436026 0.34704178],2,3,"[0.6789485915440447, 0.3280285431522715]",1,2
67,[0.46364365 0.3133262 ],1,-1,-1,2,1
68,[0.65912926 0.32477952],2,3,"[0.6789485915440447, 0.3280285431522715]",1,2
69,[0.23265367 0.81291625],0,-1,-1,0,0
70,[0.36915607 0.41326631],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
71,[0.33041326 0.3845154 ],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
72,[0.1124634  0.64190987],0,-1,-1,0,0
73,[0.13056194 0.79232632],0,-1,-1,0,0
74,[0.16631569 0.811306  ],0,-1,-1,0,0
75,[0.7135475  0.50785335],3,0,"[0.7090867539515827, 0.4536788783638889]",1,2
76,[0.64415994 0.49303762],3,-1,-1,1,2
77,[0.22961278 0.75981859],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
78,[0.3055289  0.33021704],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
79,[0.23882311 0.77032297],0,1,"[0.18146429599579317, 0.7427723094825038]",0,0
80,[0.34200938 0.39445015],1,2,"[0.35704193258243794, 0.3670231990336321]",2,1
81,[0.40434044 0.43297033],1,-1,-1,2,1
